no.,volumn out parcel
894,開明段二小段787
895,永新段三小段45
896,仁愛段二小段37
897,南港段四小段381
898,萬隆段一小段460
899,懷生段二小段252
900,仁愛段二小段37
901,市府段一小段16
902,雙連段二小段659
903,永春段一小段615
904,海光段三小段2
905,立農段一小段94-2
906,美仁段一小段16
907,美仁段一小段16-2
908,迪化段三小段560
909,光華段一小段2-1
910,福林段三小段782
911,陽明段二小段548
912,雙連段三小段403
913,祥和段二小段538
914,天母段一小段1-8
915,臨沂段三小段393
916,雅祥段一小段620
917,天母段一小段1-7
918,通化段三小段140
919,永新段三小段116
920,豐年段三小段33
921,永春段一小段623
922,中山段四小段213
923,榮星段二小段365
924,榮星段二小段250-1
925,祥和段三小段355
926,光華段一小段4
927,海光段一小段463
928,復興段三小段112
929,金華段一小段123
930,金華段一小段820
931,中南段二小段2
932,陽明段二小段264
933,光華段三小段103
934,仁愛段三小段600-1
935,光華段一小段2-2
936,通化段六小段57
937,文昌段二小段185
938,榮星段二小段300
939,蘭雅段一小段699-35
940,光華段四小段676
941,海光段一小段398
942,陽明段三小段785
943,中山段四小段213-1
944,木柵段四小段77
945,中南段二小段287
946,吉林段五小段70
947,福林段三小段781
948,雙連段一小段99
949,海光段一小段423
950,金華段二小段188
951,金華段二小段189
952,金華段二小段191
953,金華段二小段197
954,金華段二小段203-2
955,金華段二小段188
956,金華段二小段189
957,金華段二小段191
958,金華段二小段197
959,金華段二小段203-2
960,金華段二小段188
961,金華段二小段189
962,金華段二小段191
963,金華段二小段197
964,金華段二小段203-2
965,金華段二小段188
966,金華段二小段189
967,金華段二小段191
968,金華段二小段197
969,金華段二小段203-2
970,金華段二小段188
971,金華段二小段189
972,金華段二小段191
973,金華段二小段197
974,金華段二小段203-2
975,漢中段二小段967
976,漢中段二小段967
977,漢中段二小段967
978,漢中段二小段967
979,漢中段二小段967
980,漢中段二小段967
981,漢中段二小段967
982,漢中段二小段967
983,漢中段二小段967
984,漢中段二小段967
985,漢中段二小段967
986,延平段一小段320
987,延平段一小段320
988,延平段一小段320
989,延平段一小段320
990,延平段一小段320
991,延平段一小段320
992,延平段一小段320
993,延平段一小段320
994,延平段一小段710
995,延平段一小段711
996,延平段一小段726
997,延平段一小段727
998,延平段一小段728
999,延平段一小段729
1000,延平段一小段730
1001,延平段一小段731
1002,延平段一小段732
1003,延平段一小段733
1004,延平段一小段734
1005,延平段一小段735
1006,延平段一小段736
1007,延平段一小段710
1008,延平段一小段711
1009,延平段一小段726
1010,延平段一小段727
1011,延平段一小段728
1012,延平段一小段729
1013,延平段一小段730
1014,延平段一小段731
1015,延平段一小段732
1016,延平段一小段733
1017,延平段一小段734
1018,延平段一小段735
1019,延平段一小段736
1020,蘭雅段一小段699-8
1021,陽明段二小段70-1
1022,懷生段三小段310
1023,臨沂段一小段657
1024,南港段一小段1280
1025,海光段一小段19
1026,榮星段二小段252-1
1027,木柵段四小段607
1028,仁愛段二小段37
1029,陽明段二小段70-1
1030,三玉段五小段381
1031,金華段二小段192
1032,金華段二小段196
1033,金華段二小段201
1034,金華段二小段192
1035,金華段二小段196
1036,金華段二小段201
1037,景美段五小段379
1038,景美段五小段379-1
1039,景美段五小段379
1040,景美段五小段379-1
1041,景美段五小段379
1042,景美段五小段379-1
1043,景美段五小段379
1044,景美段五小段379-1
1045,景美段五小段379
1046,景美段五小段379-1
1047,景美段五小段379
1048,景美段五小段379-1
1049,景美段五小段379
1050,景美段五小段379-1
1051,景美段五小段379
1052,景美段五小段379-1
1053,景美段五小段379
1054,景美段五小段379-1
1055,景美段五小段379
1056,景美段五小段379-1
1057,景美段五小段379
1058,景美段五小段379-1
1059,景美段五小段379
1060,景美段五小段379-1
1061,景美段五小段379
1062,景美段五小段379-1
1063,景美段五小段379
1064,景美段五小段379-1
1065,景美段五小段379
1066,景美段五小段379-1
1067,景美段五小段379
1068,景美段五小段379-1
1069,景美段五小段310
1070,景美段五小段379
1071,景美段五小段310
1072,景美段五小段379
1073,迪化段三小段695
1074,延平段一小段710
1075,延平段一小段711
1076,延平段一小段726
1077,延平段一小段727
1078,延平段一小段728
1079,延平段一小段729
1080,延平段一小段730
1081,延平段一小段731
1082,延平段一小段732
1083,延平段一小段733
1084,延平段一小段734
1085,延平段一小段735
1086,延平段一小段736
1087,景美段五小段310
1088,景美段五小段379
1089,景美段五小段310
1090,景美段五小段379
1091,景美段五小段310
1092,景美段五小段379
1093,景美段五小段310
1094,景美段五小段379
1095,景美段五小段310
1096,景美段五小段379
1097,景美段五小段310
1098,景美段五小段379
1099,景美段五小段310
1100,景美段五小段379
1101,延平段一小段710
1102,延平段一小段711
1103,延平段一小段726
1104,延平段一小段727
1105,延平段一小段728
1106,延平段一小段729
1107,延平段一小段730
1108,延平段一小段731
1109,延平段一小段732
1110,延平段一小段733
1111,延平段一小段734
1112,延平段一小段735
1113,延平段一小段736
1114,金華段二小段188
1115,金華段二小段189
1116,金華段二小段191
1117,金華段二小段197
1118,金華段二小段203-2等5筆土
1119,漢中段二小段967
1120,金華段二小段188
1121,金華段二小段189
1122,金華段二小段191
1123,金華段二小段197
1124,金華段二小段203-2
1125,金華段二小段188
1126,金華段二小段189
1127,金華段二小段191
1128,金華段二小段197
1129,金華段二小段203-2等5筆土
1130,迪化段三小段467
1131,迪化段三小段468
1132,迪化段三小段469
1133,玉泉段一小段348
1134,玉泉段一小段348-1
1135,玉泉段一小段349
1136,玉泉段一小段350
1137,玉泉段一小段350-1
1138,玉泉段一小段351
1139,玉泉段一小段352
1140,玉泉段一小段352-1
1141,玉泉段一小段352-2
1142,玉泉段一小段352-3
1143,玉泉段一小段352-4
1144,玉泉段一小段353
1145,玉泉段一小段353-1
1146,玉泉段一小段354
1147,玉泉段一小段354-1
1148,玉泉段一小段151號)第三次容積移轉案
1149,迪化段二小段410
1150,迪化段二小段411
1151,迪化段二小段125
1152,迪化段三小段408
1153,迪化段三小段10號）第一次容積移轉案
1154,玉泉段一小段348
1155,玉泉段一小段151號-太和堂藥房）第一次容積移轉案
1156,迪化段一小段569等
1157,延平段二小段201等五筆
1158,延平段二小段393
1159,延平段二小段393-1
1160,延平段二小段394
1161,延平段二小段394-1
1162,延平段二小段394-2
1163,延平段二小段394-3
1164,延平段二小段393
1165,延平段二小段393-1
1166,延平段二小段394
1167,延平段二小段394-1
1168,延平段二小段394-2
1169,延平段二小段394-3
1170,迪化段二小段437
1171,迪化段二小段438
1172,迪化段二小段438-1
1173,延平段二小段219
1174,延平段二小段230
1175,延平段三小段199-1
1176,延平段三小段199-2
1177,延平段三小段200
1178,延平段三小段201
1179,延平段三小段202
1180,延平段三小段202-1
1181,延平段三小段202-2
1182,延平段三小段202-3
1183,延平段三小段183號
1184,延平段三小段安西街30號)第二次容積移轉案
1185,延平段二小段219
1186,延平段二小段230
1187,迪化段一小段569
1188,迪化段一小段570
1189,延平段二小段377
1190,延平段二小段378
1191,延平段二小段378-1
1192,延平段二小段402
1193,延平段二小段402-1
1194,延平段二小段545
1195,延平段二小段545-1
1196,延平段二小段546
1197,延平段二小段安西街128號)第一次容積移轉案
1198,延平段二小段859
1199,延平段二小段860
1200,延平段二小段860-1等3筆
1201,延平段二小段安西街84號)第一次容積移轉案
1202,延平段三小段214
1203,延平段三小段215
1204,延平段三小段215-1
1205,延平段三小段216
1206,延平段三小段216-1
1207,延平段三小段217
1208,延平段三小段218
1209,延平段三小段219
1210,延平段三小段219-1等9筆
1211,延平段三小段197
1212,延平段三小段199號
1213,延平段三小段安西街40
1214,延平段三小段42
1215,延平段三小段44號)第一次容積移轉案
1216,延平段三小段214
1217,延平段三小段215
1218,延平段三小段215-1
1219,延平段三小段216
1220,延平段三小段216-1
1221,延平段三小段217
1222,延平段三小段218
1223,延平段三小段219
1224,延平段三小段219-1等9筆
1225,延平段三小段197
1226,延平段三小段199號
1227,延平段三小段安西街40
1228,延平段三小段42
1229,延平段三小段44號)第二次容積移轉案
1230,延平段三小段199-1
1231,延平段三小段199-2
1232,延平段三小段200
1233,延平段三小段201
1234,延平段三小段202
1235,延平段三小段202-1
1236,延平段三小段202-2
1237,延平段三小段202-3等8筆
1238,延平段三小段183號
1239,延平段三小段安西街30號)第二次容積移轉案
1240,延平段三小段288
1241,延平段三小段288-1
